hidden_layer_sizes	activation	solver	alpha	learning_rate	learning_rate_init	early_stopping	accuracy
64x1	tanh	sgd	1e-05	adaptive	0.0001	False	0.92431
64x1	tanh	adam	1e-05	adaptive	0.0001	False	0.97246
64x1	tanh	lbfgs	1e-05	adaptive	0.0001	False	0.97711
64x1	tanh	sgd	1e-05	invscaling	0.1	False	0.95872
64x1	tanh	adam	1e-05	invscaling	0.1	False	0.97241
64x1	tanh	lbfgs	1e-05	invscaling	0.1	False	0.97711
64x1	tanh	sgd	1e-05	invscaling	0.01	False	0.90592
64x1	tanh	adam	1e-05	invscaling	0.01	False	0.97706
64x1	tanh	lbfgs	1e-05	invscaling	0.01	False	0.97711
64x1	tanh	sgd	1e-05	invscaling	0.001	False	0.6343
64x1	tanh	adam	1e-05	invscaling	0.001	False	0.97939
64x1	tanh	lbfgs	1e-05	invscaling	0.001	False	0.97939
64x1	tanh	sgd	1e-05	invscaling	0.0001	False	0.5601
64x1	tanh	adam	1e-05	invscaling	0.0001	False	0.96792
64x1	tanh	lbfgs	1e-05	invscaling	0.0001	False	0.98166
64x2	tanh	sgd	1e-05	adaptive	0.1	False	0.98166
64x2	tanh	adam	1e-05	adaptive	0.1	False	0.96792
64x2	tanh	lbfgs	1e-05	adaptive	0.1	False	0.97711
64x2	tanh	sgd	1e-05	adaptive	0.01	False	0.97706
64x2	tanh	adam	1e-05	adaptive	0.01	False	0.97939
64x2	tanh	lbfgs	1e-05	adaptive	0.01	False	0.97706
64x2	tanh	sgd	1e-05	adaptive	0.001	False	0.96559
64x2	tanh	adam	1e-05	adaptive	0.001	False	0.98166
64x2	tanh	lbfgs	1e-05	adaptive	0.001	False	0.97706
64x2	tanh	sgd	1e-05	adaptive	0.0001	False	0.9564
64x2	tanh	adam	1e-05	adaptive	0.0001	False	0.97252
64x2	tanh	lbfgs	1e-05	adaptive	0.0001	False	0.97711
64x2	tanh	sgd	1e-05	invscaling	0.1	False	0.96564
64x2	tanh	adam	1e-05	invscaling	0.1	False	0.96792
64x2	tanh	lbfgs	1e-05	invscaling	0.1	False	0.97484
64x2	tanh	sgd	1e-05	invscaling	0.01	False	0.92664
64x2	tanh	adam	1e-05	invscaling	0.01	False	0.97484
64x2	tanh	lbfgs	1e-05	invscaling	0.01	False	0.97939
64x2	tanh	sgd	1e-05	invscaling	0.001	False	0.55692
64x2	tanh	adam	1e-05	invscaling	0.001	False	0.98166
64x2	tanh	lbfgs	1e-05	invscaling	0.001	False	0.98393
64x2	tanh	sgd	1e-05	invscaling	0.0001	False	0.43372
64x2	tanh	adam	1e-05	invscaling	0.0001	False	0.97246
